,ID,Host Type,Repository Name with Owner,Repository ID,Manifest Platform,Manifest Filepath,Git branch,Manifest kind,Optional,Dependency Project Name,Dependency Requirements,Dependency Kind,Dependency Project ID
179,47982597,GitHub,mfpierre/open-badges-showcase,14,Bower,bower.json,,manifest,,iron-component-page,PolymerElements/iron-component-page#^1.0.0,development,1263660.0
180,47982595,GitHub,mfpierre/open-badges-showcase,14,Bower,bower.json,,manifest,,polymer,Polymer/polymer#^1.0.0,runtime,20159.0
181,49893567,GitHub,zweifisch/knockout-morris,15,Bower,bower.json,,manifest,,morris.js,~0.4.3,runtime,17800.0
182,49893566,GitHub,zweifisch/knockout-morris,15,Bower,bower.json,,manifest,,knockout.js,~3.0.0,runtime,15999.0
183,37524115,GitHub,digitalbazaar/opencred-verifier,16,NPM,package.json,,manifest,,node-forge,^0.6.38,runtime,297704.0
184,37524113,GitHub,digitalbazaar/opencred-verifier,16,NPM,package.json,,manifest,,lodash,^4.6.1,runtime,167115.0
185,37524111,GitHub,digitalbazaar/opencred-verifier,16,NPM,package.json,,manifest,,jsonld,~0.4.6,runtime,291930.0
186,384916,GitHub,pwatsonwailes/opendaws,18,bower,bower.json,,manifest,,lesshat,3.0.2,runtime,16417.0
187,50229978,GitHub,chemisus/angular-api,19,Bower,bower.json,,manifest,,angular-mocks,*,runtime,3488.0
188,50229971,GitHub,chemisus/angular-api,19,Bower,bower.json,,manifest,,angular,*,runtime,2169.0
189,50230099,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,grunt-shell-spawn,*,development,287154.0
190,50230096,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,grunt-protractor-runner,*,development,286784.0
191,50230093,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,protractor,*,development,182937.0
192,50230089,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,karma,*,development,163379.0
193,50230085,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,karma-coverage,*,development,163419.0
194,50230080,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,karma-phantomjs-launcher,*,development,163588.0
195,50230075,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,karma-coffee-preprocessor,*,development,163406.0
196,50230070,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,karma-requirejs,*,development,163611.0
197,50230063,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,karma-jasmine,*,development,163505.0
198,50230058,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,karma-html2js-preprocessor,*,development,163490.0
199,50230052,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,karma-chrome-launcher,*,development,163402.0
200,50230046,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,karma-firefox-launcher,*,development,163463.0
201,50230040,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,karma-script-launcher,*,development,163621.0
202,50230035,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,bower,*,development,272771.0
203,50230031,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,grunt-open,*,development,286582.0
204,50230027,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,grunt-contrib-concat,*,development,284920.0
205,50230023,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,grunt-contrib-watch,*,development,284989.0
206,50230019,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,grunt-karma,*,development,153854.0
207,50230014,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,grunt-shell,*,development,154189.0
208,50230009,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,grunt-contrib-jshint,*,development,284949.0
209,50230002,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,grunt-contrib-connect,*,development,284922.0
210,50229995,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,grunt,*,development,284257.0
211,50229990,GitHub,chemisus/angular-api,19,NPM,package.json,,manifest,,matchdep,*,development,294531.0
212,44710796,GitHub,BYU-ODH/apeworm,20,Bower,bower.json,,manifest,,numericjs,1.2.6,runtime,19078.0
213,44710890,GitHub,BYU-ODH/apeworm,20,NPM,package.json,,manifest,,jaguarjs-jsdoc,git://github.com/webnard/jaguarjs-jsdoc.git#5ebced075b8ea6af38bc4b6a5612e141838b01e2,development,161035.0
214,44710882,GitHub,BYU-ODH/apeworm,20,NPM,package.json,,manifest,,jsdoc,~3.3.0,development,162171.0
215,44710871,GitHub,BYU-ODH/apeworm,20,NPM,package.json,,manifest,,grunt-exec,~0.4.6,development,285378.0
216,44710861,GitHub,BYU-ODH/apeworm,20,NPM,package.json,,manifest,,grunt-text-replace,~0.3.12,development,287496.0
217,44710851,GitHub,BYU-ODH/apeworm,20,NPM,package.json,,manifest,,grunt-markdown,~0.6.1,development,286318.0
218,44710843,GitHub,BYU-ODH/apeworm,20,NPM,package.json,,manifest,,grunt-contrib-clean,~0.6.0,development,284912.0
219,44710833,GitHub,BYU-ODH/apeworm,20,NPM,package.json,,manifest,,grunt-contrib-concat,~0.5.0,development,284920.0
